name,metric_tonnes_of_CO2,date_of_information,region,sqrt_CO2,CO2_minus_avg
Lebanon,17484000.0,2023,Middle East,4181.387329583328,-154080562.3412037
Croatia,16467000.0,2023,Europe,4057.9551500725092,-155097562.3412037
Cote d'Ivoire,16280000.0,2023,Africa,4034.848200366403,-155284562.3412037
Gibraltar,15608000.0,2023,Europe,3950.6961411882844,-155956562.3412037
Lithuania,12877000.0,2023,Europe,3588.453705985351,-158687562.3412037
Zimbabwe,12578000.0,2023,Africa,3546.547617049572,-158986562.3412037
Kyrgyzstan,11389000.0,2023,Central Asia,3374.7592506725573,-160175562.3412037
Nepal,11357000.0,2023,South Asia,3370.014836762592,-160207562.3412037
Brunei,10823000.0,2023,East and Southeast Asia,3289.832822500256,-160741562.3412037
Slovenia,10772000.0,2023,Europe,3282.0725159569524,-160792562.3412037
Georgia,10700000.0,2023,Central Asia,3271.0854467592253,-160864562.3412037
Honduras,10534000.0,2023,Central America and the Caribbean,3245.6124229488646,-161030562.3412037
Senegal,10373000.0,2023,Africa,3220.7142065076187,-161191562.3412037
Zambia,9877000.0,2023,Africa,3142.7694792968828,-161687562.3412037
Mozambique,9549000.0,2023,Africa,3090.1456276363415,-162015562.3412037
Malta,8965000.0,2023,Europe,2994.1609843159736,-162599562.3412037
Luxembourg,8715000.0,2023,Europe,2952.117883825102,-162849562.3412037
El Salvador,8694000.0,2023,Central America and the Caribbean,2948.5589700733476,-162870562.3412037
Tajikistan,8616000.0,2023,Central Asia,2935.302369433173,-162948562.3412037
Yemen,8193000.0,2023,Middle East,2862.341698679597,-163371562.3412037
Costa Rica,7910000.0,2023,Central America and the Caribbean,2812.4722220850467,-163654562.3412037
Jamaica,7890000.0,2023,Central America and the Caribbean,2808.9143810376277,-163674562.3412037
Afghanistan,7757000.0,2023,South Asia,2785.139134765084,-163807562.3412037
Paraguay,7509000.0,2023,South America,2740.255462543593,-164055562.3412037
Kosovo,7444000.0,2023,Europe,2728.369476445593,-164120562.3412037
North Macedonia,7369000.0,2023,Europe,2714.5902084845147,-164195562.3412037
Armenia,7144000.0,2023,Central Asia,2672.826219566098,-164420562.3412037
Moldova,7093000.0,2023,Europe,2663.268668384773,-164471562.3412037
Uruguay,6896000.0,2023,South America,2626.0236099471763,-164668562.3412037
Mali,6858000.0,2023,Africa,2618.7783411354235,-164706562.3412037
Cyprus,6837000.0,2023,Europe,2614.7657638878477,-164727562.3412037
Cameroon,6707000.0,2023,Africa,2589.7876360813834,-164857562.3412037
Latvia,6427000.0,2023,Europe,2535.1528553521184,-165137562.3412037
Uganda,6354000.0,2023,Africa,2520.7141845120004,-165210562.3412037
Benin,5948000.0,2023,Africa,2438.8521890430343,-165616562.3412037
Botswana,5897000.0,2023,Africa,2428.3739415501886,-165667562.3412037
"Congo, Democratic Republic of the",5883000.0,2023,Africa,2425.48964128895,-165681562.3412037
Papua New Guinea,5798000.0,2023,East and Southeast Asia,2407.903652557552,-165766562.3412037
Mauritius,5551000.0,2023,Africa,2356.056026498521,-166013562.3412037
Equatorial Guinea,5471000.0,2023,Africa,2339.016887497822,-166093562.3412037
Burkina Faso,5243000.0,2023,Africa,2289.7598127314577,-166321562.3412037
New Caledonia,4887000.0,2023,Australia and Oceania,2210.656011232865,-166677562.3412037
Mauritania,4860000.0,2023,Africa,2204.5407685048604,-166704562.3412037
Estonia,4607000.0,2023,Europe,2146.3923220138486,-166957562.3412037
Guinea,4505000.0,2023,Africa,2122.4985276791126,-167059562.3412037
Madagascar,3936000.0,2023,Africa,1983.935482821959,-167628562.3412037
